actor,condition,partition,observation_mode,estimator,decoder,controller,seed,device,episodes,submitted_successes,truncations,invalid_actions,actions,inferences,submitted_success_rate,submitted_within_1_cent_rate,final_within_1_cent_rate,final_within_5_cents_rate,final_mean_absolute_error_cents,final_p99_absolute_error_cents,final_max_absolute_error_cents,mean_actions,mean_inferences,truncation_rate,invalid_action_rate,initial_perception.estimates,initial_perception.mean_absolute_error_cents,initial_perception.p99_absolute_error_cents,initial_perception.max_absolute_error_cents,initial_perception.within_1_cents_rate,initial_perception.within_2_cents_rate,initial_perception.within_5_cents_rate,trajectory_perception.estimates,trajectory_perception.mean_absolute_error_cents,trajectory_perception.p99_absolute_error_cents,trajectory_perception.max_absolute_error_cents,trajectory_perception.within_1_cents_rate,trajectory_perception.within_2_cents_rate,trajectory_perception.within_5_cents_rate,paired_clean.actor,paired_clean.condition,paired_clean.partition,paired_clean.seed,paired_clean.episodes,paired_clean.rescued,paired_clean.regressed,paired_clean.changed_outcome,paired_clean.mean_change_final_error_cents,paired_clean.mean_change_actions,paired_clean.mean_change_inferences,paired_clean.paired_initial_estimates,paired_clean.mean_change_initial_perception_error_cents
pitch-0,clean,iid,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,250,250,0,0,7373,250,1.0,0.584,0.584,1.0,1.252,2.0,2,29.492,1.0,0.0,0.0,250,1.252,2.0,2.0,0.584,1.0,1.0,250,1.252,2.0,2.0,0.584,1.0,1.0,,,,,,,,,,,,,
pitch-0,clean,lower,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,200,200,0,0,6340,200,1.0,0.595,0.595,1.0,1.17,2.0,2,31.7,1.0,0.0,0.0,200,1.17,2.0,2.0,0.595,1.0,1.0,200,1.17,2.0,2.0,0.595,1.0,1.0,,,,,,,,,,,,,
pitch-0,clean,upper,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,200,200,0,0,6195,200,1.0,0.56,0.56,1.0,1.19,2.0,2,30.975,1.0,0.0,0.0,200,1.19,2.0,2.0,0.56,1.0,1.0,200,1.19,2.0,2.0,0.56,1.0,1.0,,,,,,,,,,,,,
pitch-0,level-minus-12db,iid,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,250,250,0,0,7373,250,1.0,0.584,0.584,1.0,1.252,2.0,2,29.492,1.0,0.0,0.0,250,1.252,2.0,2.0,0.584,1.0,1.0,250,1.252,2.0,2.0,0.584,1.0,1.0,pitch-0,level-minus-12db,iid,0,250,0,0,0,0.0,0.0,0.0,250,0.0
pitch-0,level-minus-12db,lower,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,200,200,0,0,6340,200,1.0,0.595,0.595,1.0,1.17,2.0,2,31.7,1.0,0.0,0.0,200,1.17,2.0,2.0,0.595,1.0,1.0,200,1.17,2.0,2.0,0.595,1.0,1.0,pitch-0,level-minus-12db,lower,0,200,0,0,0,0.0,0.0,0.0,200,0.0
pitch-0,level-minus-12db,upper,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,200,200,0,0,6195,200,1.0,0.56,0.56,1.0,1.19,2.0,2,30.975,1.0,0.0,0.0,200,1.19,2.0,2.0,0.56,1.0,1.0,200,1.19,2.0,2.0,0.56,1.0,1.0,pitch-0,level-minus-12db,upper,0,200,0,0,0,0.0,0.0,0.0,200,0.0
pitch-0,level-minus-24db,iid,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,250,250,0,0,7373,250,1.0,0.584,0.584,1.0,1.252,2.0,2,29.492,1.0,0.0,0.0,250,1.252,2.0,2.0,0.584,1.0,1.0,250,1.252,2.0,2.0,0.584,1.0,1.0,pitch-0,level-minus-24db,iid,0,250,0,0,0,0.0,0.0,0.0,250,0.0
pitch-0,level-minus-24db,lower,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,200,200,0,0,6340,200,1.0,0.595,0.595,1.0,1.17,2.0,2,31.7,1.0,0.0,0.0,200,1.17,2.0,2.0,0.595,1.0,1.0,200,1.17,2.0,2.0,0.595,1.0,1.0,pitch-0,level-minus-24db,lower,0,200,0,0,0,0.0,0.0,0.0,200,0.0
pitch-0,level-minus-24db,upper,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,200,200,0,0,6195,200,1.0,0.56,0.56,1.0,1.19,2.0,2,30.975,1.0,0.0,0.0,200,1.19,2.0,2.0,0.56,1.0,1.0,200,1.19,2.0,2.0,0.56,1.0,1.0,pitch-0,level-minus-24db,upper,0,200,0,0,0,0.0,0.0,0.0,200,0.0
pitch-0,phase-45,iid,spectrum,harpy-sine-pitch-estimator-v1,harpy-public-source-feasible-five-cent-argmax-v1,harpy-committed-zero-tolerance-plan-v1,0,cpu,250,250,0,0,7373,250,1.0,0.584,0.584,1.0,1.252,2.0,2,29.492,1.0,0.0,0.0,250,1.252,2.0,2.0,0.584,1.0,1.0,250,1.252,2.0,2.0,0.584,1.0,1.0,pitch-0,phase-45,iid,0,250,0,0,0,0.0,0.0,0.0,250,0.0
