method,source_cents,condition,nuisance_seed,waveform_sha256,repeat,position,elapsed_ms,encoder_source_sha256,python,numpy
legacy-point,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,0,0,7.529989,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,0,1,10.319499,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,0,2,7.35278,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,1,0,10.318308,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,1,1,7.346994,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,1,2,8.579474,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,2,0,7.911251,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,2,1,8.299248,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,2,2,10.254761,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,3,0,9.04226,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,3,1,10.813025,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,3,2,7.992809,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,4,0,10.565489,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,4,1,8.248047,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,clean,17,805ec002655e654e381da0541ea742b133b002a48cc4f8a398cd69eb9a13c395,4,2,9.564164,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,0,0,10.531735,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,0,1,8.887713,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,0,2,8.233201,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,1,0,8.606612,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,1,1,8.206223,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,1,2,10.271027,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,2,0,8.141606,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,2,1,9.73452,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,2,2,8.963133,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,3,0,8.753639,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,3,1,8.561649,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,3,2,8.661082,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,4,0,9.644302,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,4,1,8.328605,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,4800,noise-10db,17,481c20d0f1851f99314122df2e30bd1cd108a80f66868d523532990d595e242a,4,2,11.672157,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6000,clean,17,6a1290eb00ecd8d9cbfd7c3702777c5ac15c9335c73f71d53ef2335c8111088a,0,0,10.575461,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
