condition,partition,actor,episodes,submitted_successes,submitted_within_1_cent,invalid_actions,truncations,actions,inferences,initial_estimates,initial_within_1_cent,initial_within_5_cents,initial_within_1_cent_rate,initial_within_5_cents_rate,initial_p99_error_cents,initial_max_error_cents,final_p99_error_cents,final_max_error_cents,submitted_success_rate,mean_actions,mean_inferences,paired_episodes,rescued_vs_legacy,regressed_vs_legacy,clean_initial_within_1_cent_gains,clean_initial_within_1_cent_losses,clean_submitted_within_1_cent_gains,clean_submitted_within_1_cent_losses
clean,all,legacy-point,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,,,,,,,
clean,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,0,0,0,0,0,0
clean,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,0,0,0,0,0,0
clean,iid,legacy-point,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,,,,,,,
clean,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,0,0,0,0,0,0
clean,iid,quadratic-fft,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,200,0,0,0,0,0,0
clean,lower,legacy-point,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,,,,,,,
clean,lower,cell-max,200,200,124,0,0,5797,200,200,124,200,0.62,1.0,3.0,3.0,3.0,3,1.0,28.985,1.0,200,0,0,0,0,0,0
clean,lower,quadratic-fft,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,200,0,0,0,0,0,0
clean,upper,legacy-point,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,,,,,,,
clean,upper,cell-max,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,0,0,0,0
clean,upper,quadratic-fft,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,0,0,0,0
level-minus-12db,all,legacy-point,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,,,,,,,
level-minus-12db,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,0,0,,,,
level-minus-12db,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,0,0,,,,
level-minus-12db,iid,legacy-point,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,,,,,,,
level-minus-12db,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,0,0,,,,
level-minus-12db,iid,quadratic-fft,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,200,0,0,,,,
level-minus-12db,lower,legacy-point,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,,,,,,,
level-minus-12db,lower,cell-max,200,200,124,0,0,5797,200,200,124,200,0.62,1.0,3.0,3.0,3.0,3,1.0,28.985,1.0,200,0,0,,,,
level-minus-12db,lower,quadratic-fft,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,200,0,0,,,,
level-minus-12db,upper,legacy-point,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,,,,,,,
level-minus-12db,upper,cell-max,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
level-minus-12db,upper,quadratic-fft,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
level-minus-24db,all,legacy-point,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,,,,,,,
level-minus-24db,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,0,0,,,,
level-minus-24db,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,0,0,,,,
level-minus-24db,iid,legacy-point,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,,,,,,,
level-minus-24db,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,0,0,,,,
level-minus-24db,iid,quadratic-fft,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,200,0,0,,,,
level-minus-24db,lower,legacy-point,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,,,,,,,
level-minus-24db,lower,cell-max,200,200,124,0,0,5797,200,200,124,200,0.62,1.0,3.0,3.0,3.0,3,1.0,28.985,1.0,200,0,0,,,,
level-minus-24db,lower,quadratic-fft,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,200,0,0,,,,
level-minus-24db,upper,legacy-point,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,,,,,,,
level-minus-24db,upper,cell-max,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
level-minus-24db,upper,quadratic-fft,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
phase-45,all,legacy-point,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,,,,,,,
phase-45,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,0,0,,,,
phase-45,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,0,0,,,,
phase-45,iid,legacy-point,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,,,,,,,
phase-45,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,0,0,,,,
phase-45,iid,quadratic-fft,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,200,0,0,,,,
phase-45,lower,legacy-point,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,,,,,,,
phase-45,lower,cell-max,200,200,124,0,0,5797,200,200,124,200,0.62,1.0,3.0,3.0,3.0,3,1.0,28.985,1.0,200,0,0,,,,
phase-45,lower,quadratic-fft,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,200,0,0,,,,
phase-45,upper,legacy-point,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,,,,,,,
phase-45,upper,cell-max,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
phase-45,upper,quadratic-fft,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
phase-90,all,legacy-point,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,,,,,,,
phase-90,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,0,0,,,,
phase-90,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,0,0,,,,
phase-90,iid,legacy-point,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,,,,,,,
phase-90,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,0,0,,,,
phase-90,iid,quadratic-fft,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,200,0,0,,,,
phase-90,lower,legacy-point,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,,,,,,,
phase-90,lower,cell-max,200,200,124,0,0,5797,200,200,124,200,0.62,1.0,3.0,3.0,3.0,3,1.0,28.985,1.0,200,0,0,,,,
phase-90,lower,quadratic-fft,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,200,0,0,,,,
phase-90,upper,legacy-point,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,,,,,,,
phase-90,upper,cell-max,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
phase-90,upper,quadratic-fft,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,0,0,,,,
noise-30db,all,legacy-point,600,598,376,0,0,17868,600,600,376,598,0.6266666666666667,0.9966666666666667,2.0,1412.0,2.0,1412,0.9966666666666667,29.78,1.0,,,,,,,
noise-30db,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,2,0,,,,
noise-30db,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,2,0,,,,
noise-30db,iid,legacy-point,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,,,,,,,
noise-30db,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,0,0,,,,
noise-30db,iid,quadratic-fft,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,200,0,0,,,,
noise-30db,lower,legacy-point,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,,,,,,,
noise-30db,lower,cell-max,200,200,124,0,0,5797,200,200,124,200,0.62,1.0,3.0,3.0,3.0,3,1.0,28.985,1.0,200,0,0,,,,
noise-30db,lower,quadratic-fft,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,200,0,0,,,,
noise-30db,upper,legacy-point,200,198,120,0,0,6234,200,200,120,198,0.6,0.99,6.449999999995953,1412.0,6.449999999995953,1412,0.99,31.17,1.0,,,,,,,
noise-30db,upper,cell-max,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,2,0,,,,
noise-30db,upper,quadratic-fft,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,2,0,,,,
noise-10db,all,legacy-point,600,588,376,0,0,17836,600,600,376,588,0.6266666666666667,0.98,449.35999999999785,2013.0,449.35999999999785,2013,0.98,29.726666666666667,1.0,,,,,,,
noise-10db,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,12,0,,,,
noise-10db,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,12,0,,,,
noise-10db,iid,legacy-point,200,199,132,0,0,5823,200,200,132,199,0.66,0.995,2.0,402.0,2.0,402,0.995,29.115,1.0,,,,,,,
noise-10db,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,1,0,,,,
noise-10db,iid,quadratic-fft,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,200,1,0,,,,
noise-10db,lower,legacy-point,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,,,,,,,
noise-10db,lower,cell-max,200,200,124,0,0,5797,200,200,124,200,0.62,1.0,3.0,3.0,3.0,3,1.0,28.985,1.0,200,0,0,,,,
noise-10db,lower,quadratic-fft,200,200,124,0,0,5807,200,200,124,200,0.62,1.0,2.0,2.0,2.0,2,1.0,29.035,1.0,200,0,0,,,,
noise-10db,upper,legacy-point,200,189,120,0,0,6206,200,200,120,189,0.6,0.945,1590.0099999999973,2013.0,1590.0099999999973,2013,0.945,31.03,1.0,,,,,,,
noise-10db,upper,cell-max,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,11,0,,,,
noise-10db,upper,quadratic-fft,200,200,120,0,0,6232,200,200,120,200,0.6,1.0,2.0,2.0,2.0,2,1.0,31.16,1.0,200,11,0,,,,
combined,all,legacy-point,600,587,376,0,0,17852,600,600,376,587,0.6266666666666667,0.9783333333333334,1188.1,2013.0,1188.1,2013,0.9783333333333334,29.753333333333334,1.0,,,,,,,
combined,all,cell-max,600,600,376,0,0,17883,600,600,376,600,0.6266666666666667,1.0,3.0,3.0,3.0,3,1.0,29.805,1.0,600,13,0,,,,
combined,all,quadratic-fft,600,600,376,0,0,17866,600,600,376,600,0.6266666666666667,1.0,2.0,2.0,2.0,2,1.0,29.776666666666667,1.0,600,13,0,,,,
combined,iid,legacy-point,200,200,132,0,0,5827,200,200,132,200,0.66,1.0,2.0,2.0,2.0,2,1.0,29.135,1.0,,,,,,,
combined,iid,cell-max,200,200,132,0,0,5854,200,200,132,200,0.66,1.0,3.0,3.0,3.0,3,1.0,29.27,1.0,200,0,0,,,,
